YouTube,Series,Date,Unique event name,Guests,Title or name of stream
https://www.youtube.com/watch?v=XX61J32RT9g,GuestStream,3/6/2024,GuestStream #074.1,Alexey Tolchinsky,Narrative Fallacy and Other Limitations of Psychodynamic Case Formulation
https://www.youtube.com/watch?v=I3rhsT-8isk,MathStream,3/5/2024,MathStream #009.1,Jonathan Gorard,A computational perspective on observation and cognition
https://youtu.be/0pd6BtofNkY,"Parr, Pezzulo, Friston 2022 Textbook",3/4/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 8 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=7Ru_taOprEA,"Parr, Pezzulo, Friston 2022 Textbook",3/4/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 3, part 1",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtube.com/live/ps3B2dfmK5Y,GuestStream,3/3/2024,GuestStream #073.1,Lachlan Kent,Mental gravity: Modelling the embodied self on the physical environment
https://www.youtube.com/watch?v=jI3wnTbpkNo,GuestStream,3/1/2024,GuestStream #072.1,John Cook,Open Source AI:  The truth is the first casualty in war
https://www.youtube.com/watch?v=T5nG_5UZ_yk,MorphStream,3/1/2024,MorphStream #003.1,Anand Subramoney,Principles of scalability and biological inspirations
https://youtu.be/bQAJKi5ewDI,Insights,2/29/2024,Insights #013,Ryan Smith,"Wellbeing, Modelling, Precision"
https://youtu.be/0pd6BtofNkY,"Parr, Pezzulo, Friston 2022 Textbook",2/26/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 7 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/s3iUvrVuckc,"Parr, Pezzulo, Friston 2022 Textbook",2/26/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 2, part 2",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/kNel8V3TFZs,Insights,2/22/2024,Insights #012,Ronald Sladky,"Amygdala, Priors, fMRI"
https://www.youtube.com/watch?v=nss0y1P3nso,GuestStream,2/22/2024,GuestStream #071.1,"Ryan Smith,Marishka Mehta,Rowan Hodson",The empirical status of predictive coding and active inference
https://youtu.be/mqB1ZW3wVHc,"Parr, Pezzulo, Friston 2022 Textbook",2/19/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 7 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/AJ245K2DC44,"Parr, Pezzulo, Friston 2022 Textbook",2/19/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 2, part 1",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=UAtfOc3Q4_0,GuestStream,2/15/2024,GuestStream #066.2,Adrian Bejan,Freedom and Evolution
https://youtu.be/5OSdKU3Viu0,Insights,2/15/2024,Insights #011,Julian Kiverstein,"Affordances, Enaction, Phenomenology"
https://youtu.be/Da6PnLlK9oc,"Parr, Pezzulo, Friston 2022 Textbook",2/12/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 6 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/qYImZ0Gk298,"Parr, Pezzulo, Friston 2022 Textbook",2/12/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 1, part 2",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=FNgAL97_uwE,GuestStream,2/9/2024,GuestStream #070.1,Jerry Michalski,Practical Collective Sensemaking
https://youtu.be/kLLMB91DMPA,Insights,2/8/2024,Insights #010,Lancelot Da Costa,"Mathematics, Time, Selfhood"
https://www.youtube.com/watch?v=Q0ySDpKFrPA,GuestStream,2/6/2024,GuestStream #069.1,Andrew McLuhan,Marshall McLuhan and Project 69
https://youtu.be/WZ_rsHiwXRk,"Parr, Pezzulo, Friston 2022 Textbook",2/5/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 6 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/imqNCmLJMts,"Parr, Pezzulo, Friston 2022 Textbook",2/5/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 1, part 1",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtube.com/live/S-6qpCNq4uA?feature=share,MathStream,2/2/2024,MathStream #008.2,Richard Servajean,Introduction to Bayesian mechanics: paths-based formalism (part 2)
https://youtu.be/23XMBqlFi78,Insights,2/1/2024,Insights #009,Christopher D Frith,"Mentalizing, Schizophrenia, Consciousness"
https://www.youtube.com/watch?v=bXOAOqJxujs,MathStream,1/26/2024,MathStream #008.1,Richard Servajean,Introduction to Bayesian mechanics: state-based formalism (part 1)
https://youtu.be/oJZSGW2kCYY,Insights,1/25/2024,Insights #008,Alexander Ororbia,"Mortal Computation, Cybernetics, AI"
https://www.youtube.com/watch?v=3QpD4fXqQ7w,GuestStream,1/23/2024,GuestStream #068.1,Darius Parvizi-Wayne,Distrusting the policy: how inference over action shapes our experience of temporality in flow states and life more broadly
https://www.youtube.com/watch?v=SerC9wYOMHs,OrgStream,1/22/2024,OrgStream #006.1,"Cent Hosten,Janita Chalam,Hazel",d20 Governance: an experimental governance environment
https://youtu.be/1wxxhVjSo6w,Insights,1/11/2024,Insights #007,"Vicente Raja,Jeff Beck",The Markov Blanket Trick Debate
https://youtu.be/7GGGBMFuRXE,Insights,1/4/2024,Insights #006,Adam Safron,"Psychedelics, Emotions, The Body"
https://www.youtube.com/watch?v=ykmasEwYSqQ,ReviewStream,12/22/2023,ReviewStream 2023,,2023 Active Inference Livestream Review
https://youtu.be/Jutffqjgy18,Insights,12/21/2023,Insights #005,Marilyn Stendera,"Autopoiesis, Heidegger, Futurity"
https://youtu.be/Wp7OebX_k70,MorphStream,12/19/2023,MorphStream #002.1,Alon Loeffler,
